TR,TrialResult,trial_type,block_num,trial_in_block
0,rest,rest,0,0
1,no_press,333,1,1
2,no_press,333,1,2
3,correct,333,1,3
4,correct,333,1,4
5,correct,333,1,5
6,correct,333,1,6
7,correct,333,1,7
8,correct,333,1,8
9,correct,333,1,9
10,invalid_press,333,1,10
11,no_press,333,1,11
12,invalid_press,333,1,12
13,incorrect,333,1,13
14,correct,333,1,14
15,correct,333,1,15
16,correct,333,1,16
17,correct,333,1,17
18,no_press,333,1,18
19,correct,333,1,19
20,incorrect,333,1,20
21,incorrect,333,1,21
22,incorrect,333,1,22
23,incorrect,333,1,23
