TR,TrialResult,stimulus_type
1,correct_rejection,bear
2,miss,buzz
3,miss,buzz
4,hit,buzz
5,hit,buzz
6,hit,buzz
7,correct_rejection,bear
8,hit,buzz
9,hit,buzz
10,hit,buzz
11,correct_rejection,bear
12,hit,buzz
13,hit,buzz
14,hit,buzz
15,hit,buzz
16,miss,buzz
17,correct_rejection,bear
18,hit,buzz
19,miss,buzz
20,hit,buzz
21,hit,buzz
22,hit,buzz
23,miss,buzz
24,hit,buzz
25,hit,buzz
26,correct_rejection,bear
27,miss,buzz
28,miss,buzz
29,correct_rejection,bear
30,hit,buzz
31,miss,buzz
32,hit,buzz
33,miss,buzz
34,hit,buzz
35,miss,buzz
36,correct_rejection,bear
37,hit,buzz
38,miss,buzz
39,correct_rejection,bear
40,miss,buzz
41,hit,buzz
42,miss,buzz
43,miss,buzz
44,hit,buzz
45,correct_rejection,bear
46,hit,buzz
47,hit,buzz
48,hit,buzz
49,false_alarm,bear
50,hit,buzz
51,hit,buzz
52,hit,buzz
53,miss,buzz
54,hit,buzz
55,miss,buzz
56,miss,buzz
57,hit,buzz
58,miss,buzz
59,miss,buzz
60,correct_rejection,bear
61,hit,buzz
62,hit,buzz
63,miss,buzz
64,miss,buzz
65,false_alarm,bear
66,hit,buzz
67,correct_rejection,bear
68,hit,buzz
69,hit,buzz
70,miss,buzz
71,miss,buzz
72,hit,buzz
73,correct_rejection,bear
74,hit,buzz
75,miss,buzz
76,correct_rejection,bear
77,hit,buzz
78,correct_rejection,bear
79,miss,buzz
80,hit,buzz
81,hit,buzz
82,hit,buzz
83,miss,buzz
84,correct_rejection,bear
85,hit,buzz
86,miss,buzz
87,miss,buzz
88,hit,buzz
89,miss,buzz
90,hit,buzz
91,hit,buzz
92,hit,buzz
93,hit,buzz
94,miss,buzz
95,hit,buzz
96,miss,buzz
97,correct_rejection,bear
98,hit,buzz
99,hit,buzz
100,hit,buzz
101,correct_rejection,bear
102,hit,buzz
103,correct_rejection,bear
104,correct_rejection,bear
105,hit,buzz
106,hit,buzz
107,miss,buzz
108,miss,buzz
109,miss,buzz
110,miss,buzz
111,hit,buzz
112,correct_rejection,bear
113,hit,buzz
114,miss,buzz
115,miss,buzz
116,correct_rejection,bear
117,correct_rejection,bear
118,hit,buzz
119,hit,buzz
120,miss,buzz
121,correct_rejection,bear
122,miss,buzz
123,miss,buzz
124,miss,buzz
125,hit,buzz
126,miss,buzz
127,miss,buzz
128,hit,buzz
129,hit,buzz
130,hit,buzz
131,correct_rejection,bear
132,miss,buzz
133,hit,buzz
134,hit,buzz
135,hit,buzz
136,miss,buzz
137,hit,buzz
138,hit,buzz
139,miss,buzz
140,correct_rejection,bear
141,hit,buzz
142,correct_rejection,bear
143,miss,buzz
144,correct_rejection,bear
145,hit,buzz
146,miss,buzz
147,correct_rejection,bear
148,correct_rejection,bear
149,miss,buzz
150,miss,buzz
151,correct_rejection,bear
152,miss,buzz
153,miss,buzz
154,hit,buzz
155,hit,buzz
156,hit,buzz
157,miss,buzz
158,miss,buzz
159,hit,buzz
160,hit,buzz
161,correct_rejection,bear
162,false_alarm,bear
163,hit,buzz
164,hit,buzz
165,hit,buzz
166,hit,buzz
167,hit,buzz
168,hit,buzz
169,correct_rejection,bear
170,hit,buzz
171,hit,buzz
172,hit,buzz
173,miss,buzz
174,correct_rejection,bear
175,hit,buzz
176,hit,buzz
177,hit,buzz
178,hit,buzz
179,hit,buzz
180,miss,buzz
181,miss,buzz
182,correct_rejection,bear
183,hit,buzz
184,hit,buzz
185,miss,buzz
186,hit,buzz
187,miss,buzz
188,miss,buzz
189,correct_rejection,bear
190,miss,buzz
191,hit,buzz
192,hit,buzz
